ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0.0000 2.0000 1.0700e+07 4.9237e+06 1.6149e+07 5.2290e+06 1.5630e+07 8.8470e+06 1.3020e+07 8.7060e+06 1.1340e+07 1.4140e+07 7.8390e+06 1.5630e+07 5.2290e+06
2.0000 4.0000 1.9060e+07 9.9305e+06 2.7796e+07 1.0400e+07 2.7060e+07 1.6170e+07 2.2570e+07 1.6680e+07 1.9860e+07 2.4540e+07 1.4210e+07 2.7060e+07 1.0400e+07
4.0000 6.0000 1.5000e+07 8.8498e+06 2.1739e+07 9.1410e+06 2.1380e+07 1.3130e+07 1.7170e+07 1.4240e+07 1.5080e+07 1.9120e+07 1.1170e+07 2.1380e+07 9.1410e+06
6.0000 8.0000 9.2430e+06 6.0396e+06 1.3278e+07 6.1770e+06 1.3140e+07 8.3150e+06 1.0290e+07 9.3740e+06 8.9950e+06 1.1570e+07 6.8990e+06 1.3140e+07 6.1770e+06
8.0000 12.000 8.5450e+06 6.1062e+06 1.1989e+07 6.2000e+06 1.1910e+07 7.8750e+06 9.2800e+06 9.0840e+06 8.0920e+06 1.0370e+07 6.4630e+06 1.1910e+07 6.2000e+06
12.000 16.000 3.1380e+06 2.4101e+06 4.2381e+06 2.4340e+06 4.2200e+06 2.9530e+06 3.3370e+06 3.4340e+06 2.9140e+06 3.6650e+06 2.4340e+06 4.2200e+06 2.4520e+06
16.000 24.000 1.9380e+06 1.5396e+06 2.5050e+06 1.5490e+06 2.4980e+06 1.8520e+06 2.0270e+06 2.1460e+06 1.7860e+06 2.1870e+06 1.5490e+06 2.4980e+06 1.6070e+06
24.000 36.000 5.9630e+05 4.9422e+05 7.3006e+05 4.9570e+05 7.2890e+05 5.7900e+05 6.1390e+05 6.6100e+05 5.4950e+05 6.5020e+05 4.9570e+05 7.2890e+05 5.2480e+05
